symbol;weight;center_of_mass;moment_of_inertia;normalized_moment_of_inertia
а;0.0881316098707403;(1.0399529964747356, 3.22972972972973);(174328.02447041674, 21914.79172771094);(102.42539628109091, 12.87590583296765)
ә;0.08343125734430082;(1.0246768507638073, 2.9418331374853115);(154438.40523487286, 22225.021840621594);(90.73936852812741, 13.0581796948423)
б;0.08753315649867374;(1.1423519009725907, 2.6423519009725904);(171768.76604235132, 37650.709013173466);(75.93667817964248, 16.64487577947545)
в;0.09833333333333333;(1.135, 3.4988888888888887);(190094.86910740772, 24973.405825);(105.60826061522651, 13.874114347222223)
г;0.0701058201058201;(0.5502645502645502, 2.359126984126984);(110106.92898872525, 7472.45564233925);(72.82204298196115, 4.942100292552413)
ғ;0.08267195767195767;(0.6415343915343915, 2.7863756613756614);(125713.4848430369, 8516.86907736346);(83.1438391819027, 5.632849918891178)
д;0.07642998027613412;(1.1469428007889546, 2.828402366863905);(192446.54633941417, 35688.32114791344);(94.89474671568746, 17.597791493053965)
е;0.0799059929494712;(0.8466509988249119, 2.8501762632197414);(152547.3865377154, 16938.43905766492);(89.62831171428638, 9.952079352329566)
ё;0.08059384941675504;(0.8658536585365854, 2.7205726405090136);(157205.5139179239, 19215.076740035685);(83.35393102753123, 10.188269745512029)
ж;0.08796296296296297;(1.5354938271604939, 3.182098765432099);(259412.77034750843, 73201.03415066298);(100.08208732542764, 28.241139718619976)
з;0.055984555984555984;(0.7200772200772201, 1.9877734877734878);(102048.29357170188, 13832.577656117233);(65.66814258153275, 8.901272622984063)
и;0.09722222222222222;(1.3541666666666667, 3.4484126984126986);(210410.01366843015, 40957.66840277778);(104.37004646251496, 20.316303771219136)
й;0.09821428571428571;(1.3588435374149659, 3.1964285714285716);(219550.6629464287, 46886.803389212655);(93.34637030035233, 19.934865386570007)
к;0.08611111111111111;(0.9377777777777778, 3.095);(174841.25887499985, 20554.37343209876);(97.13403270833325, 11.419096351165978)
қ;0.08153846153846153;(0.9123076923076923, 2.937948717948718);(182138.3988741619, 22429.345777514794);(93.40430711495483, 11.502228603853741)
л;0.07112750263435196;(1.029504741833509, 2.506322444678609);(152867.8713078821, 29341.779270731455);(80.54155495673452, 15.459314684263148)
м;0.07702020202020202;(1.3080808080808082, 2.7411616161616164);(206129.6847499616, 59246.09649525557);(86.75491782405791, 24.935225797666487)
н;0.10218253968253968;(1.4176587301587302, 3.6165674603174605);(217424.6026938259, 42004.67249110285);(107.84950530447713, 20.8356510372534)
ң;0.09615384615384616;(1.3608058608058609, 3.427197802197802);(228024.4427039305, 44910.2464074387);(104.40679610985828, 20.563299637105633)
о;0.07380457380457381;(0.9147609147609148, 2.6247401247401245);(159586.39976270864, 26484.86540946831);(82.94511422178203, 13.765522562093716)
ө;0.08783783783783784;(1.0867983367983367, 3.1101871101871104);(181840.06225768352, 29709.62043111198);(94.51146686989787, 15.441590660661113)
п;0.09771825396825397;(1.3655753968253967, 3.4052579365079363);(205337.17750973382, 41179.506709469104);(101.85375868538384, 20.42634261382396)
